"","Date","RegionName","InventorySeasonallyAdjusted_AllHomes","InventoryRaw_AllHomes","MedianListingPricePerSqft_1Bedroom","MedianListingPricePerSqft_2Bedroom","MedianListingPricePerSqft_3Bedroom","MedianListingPricePerSqft_4Bedroom","MedianListingPricePerSqft_5BedroomOrMore","MedianListingPricePerSqft_AllHomes","MedianListingPricePerSqft_CondoCoop","MedianListingPricePerSqft_DuplexTriplex","MedianListingPricePerSqft_SingleFamilyResidence","MedianListingPrice_1Bedroom","MedianListingPrice_2Bedroom","MedianListingPrice_3Bedroom","MedianListingPrice_4Bedroom","MedianListingPrice_5BedroomOrMore","MedianListingPrice_AllHomes","MedianListingPrice_CondoCoop","MedianListingPrice_DuplexTriplex","MedianListingPrice_SingleFamilyResidence","MedianPctOfPriceReduction_AllHomes","MedianPctOfPriceReduction_CondoCoop","MedianPctOfPriceReduction_SingleFamilyResidence","MedianPriceCutDollar_AllHomes","MedianPriceCutDollar_CondoCoop","MedianPriceCutDollar_SingleFamilyResidence","MedianRentalPricePerSqft_1Bedroom","MedianRentalPricePerSqft_2Bedroom","MedianRentalPricePerSqft_3Bedroom","MedianRentalPricePerSqft_4Bedroom","MedianRentalPricePerSqft_5BedroomOrMore","MedianRentalPricePerSqft_AllHomes","MedianRentalPricePerSqft_CondoCoop","MedianRentalPricePerSqft_DuplexTriplex","MedianRentalPricePerSqft_MultiFamilyResidence5PlusUnits","MedianRentalPricePerSqft_SingleFamilyResidence","MedianRentalPricePerSqft_Studio","MedianRentalPrice_1Bedroom","MedianRentalPrice_2Bedroom","MedianRentalPrice_3Bedroom","MedianRentalPrice_4Bedroom","MedianRentalPrice_5BedroomOrMore","MedianRentalPrice_AllHomes","MedianRentalPrice_CondoCoop","MedianRentalPrice_DuplexTriplex","MedianRentalPrice_MultiFamilyResidence5PlusUnits","MedianRentalPrice_SingleFamilyResidence","MedianRentalPrice_Studio","ZHVIPerSqft_AllHomes","PctOfHomesDecreasingInValues_AllHomes","PctOfHomesIncreasingInValues_AllHomes","PctOfHomesSellingForGain_AllHomes","PctOfHomesSellingForLoss_AllHomes","PctOfListingsWithPriceReductionsSeasAdj_AllHomes","PctOfListingsWithPriceReductionsSeasAdj_CondoCoop","PctOfListingsWithPriceReductionsSeasAdj_SingleFamilyResidence","PctOfListingsWithPriceReductions_AllHomes","PctOfListingsWithPriceReductions_CondoCoop","PctOfListingsWithPriceReductions_SingleFamilyResidence","PriceToRentRatio_AllHomes","Sale_Counts","Sale_Counts_Seas_Adj","Sale_Prices","ZHVI_1bedroom","ZHVI_2bedroom","ZHVI_3bedroom","ZHVI_4bedroom","ZHVI_5BedroomOrMore","ZHVI_AllHomes","ZHVI_BottomTier","ZHVI_CondoCoop","ZHVI_MiddleTier","ZHVI_SingleFamilyResidence","ZHVI_TopTier","ZRI_AllHomes","ZRI_AllHomesPlusMultifamily","ZriPerSqft_AllHomes","Zri_MultiFamilyResidenceRental","Zri_SingleFamilyResidenceRental"
"1",1996-04-30,"atlantafultonga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88800,86900,78900,196700,434300,93400,NA,112300,93400,79100,215000,NA,NA,NA,NA,NA
"2",1996-04-30,"bostonsuffolkma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104900,123900,125800,138500,144400,123100,75800,119400,123100,126900,215300,NA,NA,NA,NA,NA
"3",1996-04-30,"denverdenverco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65000,86200,112800,154800,215400,98700,66300,83800,98700,106000,170500,NA,NA,NA,NA,NA
"4",1996-04-30,"durhamdurhamnc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77000,119800,NA,78800,49900,NA,78800,81700,NA,NA,NA,NA,NA,NA
"5",1996-04-30,"los_angeleslos_angelesca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96100,127800,153700,212400,383500,155000,112100,132500,155000,161900,306900,NA,NA,NA,NA,NA
"6",1996-04-30,"minneapolishennepinmn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56900,72400,84000,102300,141900,80700,59300,85300,80700,79300,132800,NA,NA,NA,NA,NA
"7",1996-04-30,"new_yorkqueensny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163500,191200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1996-04-30,"philadelphiaphiladelphiapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70500,50800,42100,62500,85200,50000,32300,43600,50000,82500,84500,NA,NA,NA,NA,NA
"9",1996-04-30,"raleighwakenc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96400,123300,178300,298200,126700,87500,NA,126700,130000,204500,NA,NA,NA,NA,NA
"10",1996-04-30,"san_diegosan_diegoca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75900,124700,164500,210200,299900,161100,103900,123900,161100,181100,268400,NA,NA,NA,NA,NA
"11",1996-04-30,"seattlekingwa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108400,145700,173400,203900,225500,164400,115100,135100,164400,173400,249500,NA,NA,NA,NA,NA
"12",1996-05-31,"atlantafultonga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90700,87900,78400,196300,429200,93900,NA,113900,93900,78400,217100,NA,NA,NA,NA,NA
"13",1996-05-31,"bostonsuffolkma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103300,124200,126700,139000,144400,122800,76100,119000,122800,127600,215800,NA,NA,NA,NA,NA
"14",1996-05-31,"denverdenverco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64500,87100,113000,154300,212500,99200,65700,84500,99200,106000,170900,NA,NA,NA,NA,NA
"15",1996-05-31,"detroitwaynemi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79100,81400,94200,NA,NA,73900,79900,NA,NA,103600,NA,NA,NA,NA,NA
"16",1996-05-31,"durhamdurhamnc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75000,115500,NA,76600,48500,NA,76600,79300,NA,NA,NA,NA,NA,NA
"17",1996-05-31,"los_angeleslos_angelesca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94500,127400,153500,212000,385600,154600,112000,130600,154600,161700,305800,NA,NA,NA,NA,NA
"18",1996-05-31,"minneapolishennepinmn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56500,72400,84400,102100,142600,81000,59300,83900,81000,80000,133600,NA,NA,NA,NA,NA
"19",1996-05-31,"new_yorkqueensny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163500,192200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1996-05-31,"philadelphiaphiladelphiapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69600,50100,42100,62700,85500,49900,32200,43500,49900,82700,85300,NA,NA,NA,NA,NA
"21",1996-05-31,"raleighwakenc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96300,123200,177900,302500,126700,87300,NA,126700,130100,204900,NA,NA,NA,NA,NA
"22",1996-05-31,"san_diegosan_diegoca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75700,124800,163700,210000,297000,160700,103600,123400,160700,180000,267200,NA,NA,NA,NA,NA
"23",1996-05-31,"seattlekingwa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108500,145700,172700,202800,225100,163900,115000,134900,163900,172600,249900,NA,NA,NA,NA,NA
"24",1996-06-30,"atlantafultonga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91100,88200,77900,195900,424600,93700,NA,113900,93700,78100,218000,NA,NA,NA,NA,NA
"25",1996-06-30,"bostonsuffolkma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102800,124500,127900,139100,144500,123100,76200,119300,123100,128500,216600,NA,NA,NA,NA,NA
"26",1996-06-30,"denverdenverco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64000,87600,113300,154000,208400,99600,65500,85200,99600,106100,171400,NA,NA,NA,NA,NA
"27",1996-06-30,"detroitwaynemi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79000,81300,94000,NA,NA,73600,79700,NA,NA,103300,NA,NA,NA,NA,NA
"28",1996-06-30,"durhamdurhamnc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73600,113500,NA,75300,47700,NA,75300,77900,NA,NA,NA,NA,NA,NA
"29",1996-06-30,"los_angeleslos_angelesca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93600,126900,153400,211100,384900,154400,111600,128800,154400,161600,304700,NA,NA,NA,NA,NA
"30",1996-06-30,"minneapolishennepinmn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56100,72300,85000,101700,142100,80600,59000,81200,80600,80600,133800,NA,NA,NA,NA,NA
"31",1996-06-30,"new_yorkqueensny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162900,191900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1996-06-30,"philadelphiaphiladelphiapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69300,49400,42000,62900,85400,49600,31900,43200,49600,82900,85700,NA,NA,NA,NA,NA
"33",1996-06-30,"raleighwakenc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96000,123100,177500,304000,126800,87100,NA,126800,130300,205500,NA,NA,NA,NA,NA
"34",1996-06-30,"san_diegosan_diegoca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76200,125200,162800,209300,295800,160400,103500,123900,160400,179200,266300,NA,NA,NA,NA,NA
"35",1996-06-30,"seattlekingwa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108800,145500,172500,201800,224500,163600,115100,135300,163600,172100,250400,NA,NA,NA,NA,NA
"36",1996-07-31,"atlantafultonga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90800,87800,77900,195500,421000,93100,NA,114500,93100,77900,219200,NA,NA,NA,NA,NA
"37",1996-07-31,"bostonsuffolkma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102500,125100,129000,139400,144900,123800,76300,120000,123800,129100,217400,NA,NA,NA,NA,NA
"38",1996-07-31,"denverdenverco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63500,87800,114100,154000,204700,100200,65400,85500,100200,107100,172400,NA,NA,NA,NA,NA
"39",1996-07-31,"detroitwaynemi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78900,81200,94000,NA,NA,73100,79500,NA,NA,103200,NA,NA,NA,NA,NA
"40",1996-07-31,"durhamdurhamnc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73000,113100,NA,74800,47600,NA,74800,77500,NA,NA,NA,NA,NA,NA
"41",1996-07-31,"los_angeleslos_angelesca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93600,126300,153300,209900,382900,154200,111200,127400,154200,161600,303900,NA,NA,NA,NA,NA
"42",1996-07-31,"minneapolishennepinmn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55700,72400,85300,101700,141900,80300,58500,79200,80300,80800,133600,NA,NA,NA,NA,NA
"43",1996-07-31,"new_yorkqueensny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162300,191300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1996-07-31,"philadelphiaphiladelphiapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69400,49000,41700,62800,84600,49400,31700,43000,49400,82900,85700,NA,NA,NA,NA,NA
"45",1996-07-31,"raleighwakenc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95500,123500,177700,304400,127100,87200,NA,127100,130500,206400,NA,NA,NA,NA,NA
"46",1996-07-31,"san_diegosan_diegoca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77100,125300,162100,208300,295300,160100,103400,125200,160100,178700,266000,NA,NA,NA,NA,NA
"47",1996-07-31,"seattlekingwa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109200,145400,172800,201400,223900,163400,115100,135500,163400,172100,251500,NA,NA,NA,NA,NA
"48",1996-08-31,"atlantafultonga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90700,87300,77800,194600,417800,92500,NA,115100,92500,77400,220200,NA,NA,NA,NA,NA
